name,version,dependency_count
nuban_rust,0.1.1,0.0
nube,0.0.1,12.0
nubls,0.1.0,15.0
nuc1xx,0.1.2,11.0
nucgen,0.1.2,31.0
nuclear,0.0.10,53.0
nuclear-router,0.1.0,7.0
nuclei,0.4.4,53.0
nuclei-attributes,0.1.0,4.0
nucleic,0.0.1,0.0
nucleic-acid,0.1.1,2.0
nucleic-acids,0.1.0,0.0
nucleide,0.1.0,7.0
disarray-core,0.1.20,27.0
disarray-derive,0.1.13,4.0
disarray-ledger,0.1.20,53.0
disarray-macros,0.1.13,4.0
disarray-network,0.1.20,122.0
disarray-runtime,0.1.20,119.0
disas,0.1.3,8.0
disasm,0.5.1,1.0
disasm-core,0.5.1,0.0
disasm-e2k,0.5.2,1.0
disasm-gen,0.5.1,5.0
disasm-riscv,0.5.1,1.0
disasm-test,0.5.1,2.0
disasm-x86,0.5.1,1.0
disasm6502,0.2.2,0.0
disasm_x64,0.1.1,0.0
disassemble,0.0.1,0.0
disc,0.1.0,11.0
disc-bot,0.1.0,87.0
disc-derive,0.1.0,10.0
arduino_mkrzero,0.12.2,46.0
arduino_nano33iot,0.7.2,49.0
arduino_nano_connect,0.7.0,54.0
arduinors,0.1.1,11.0
are,0.0.2,0.0
are_we_touching,0.2.8,2.0
area-db,0.0.0,
area_crate,0.1.1,0.0
area_func,0.1.1,0.0
area_function,0.1.0,0.0
areaportal2d,0.1.1,7.0
arecibo,0.1.1,99.0
aredis,0.0.4,35.0
areion,0.1.0,0.0
arel,0.3.8,62.0
arel-macros,0.3.8,7.0
arel_macro,0.0.9,6.0
arelith_combat_simulator,1.5.1,10.0
aren_alloc,0.3.0,0.0
arena-alloc,0.1.2,0.0
air-execution-info-collector,0.7.14,31.0
air-interpreter-cid,0.9.0,38.0
air-interpreter-data,0.17.2,124.0
air-interpreter-interface,0.19.0,21.0
air-interpreter-sede,0.1.0,14.0
air-interpreter-signatures,0.1.7,86.0
air-interpreter-value,0.1.0,10.0
air-interpreter-wasm,0.64.1,0.0
air-interpreter-wasm_branch_release,0.0.0,0.0
air-interpreter-wasm_ci_fix_version_increment,0.0.1,0.0
air-interpreter-wasm_crate_release,0.0.18,0.0
air-interpreter-wasm_fix,0.0.0,0.0
air-interpreter-wasm_fold_iterable,0.0.9,0.0
air-interpreter-wasm_get_rid_current_peer_id,0.0.4,0.0
air-interpreter-wasm_jvalue_flatten,0.0.5,0.0
air-interpreter-wasm_logger-i32,0.0.5,0.0
air-interpreter-wasm_new_it_types,0.0.3,0.0
air-interpreter-wasm_new_stepper_outcome,0.0.13,0.0
air-interpreter-wasm_prerelease,0.0.1,0.0
air-interpreter-wasm_security_tetraplets_reborn,0.0.18,0.0
aws-sdk-arczonalshift,1.63.0,75.0
aws-sdk-artifact,1.52.0,75.0
aws-sdk-athena,1.66.0,75.0
aws-sdk-auditmanager,1.63.0,75.0
aws-sdk-autoscaling,1.70.0,79.0
aws-sdk-autoscalingplans,1.62.0,75.0
aws-sdk-b2bi,1.67.0,75.0
aws-sdk-backup,1.66.0,75.0
aws-sdk-backupgateway,1.62.0,75.0
