Crate Name,Severity Label,On lib.rs
cosmwasm-std-1.4.3,LOW_SEVERITY,Yes
anymap-0.12.1,LOW_SEVERITY,Yes
nano_arena-0.5.1,HIGH_SEVERITY,Yes
gix-worktree-0.33.1,LOW_SEVERITY,Yes
nix-0.20.1,LOW_SEVERITY,Yes
safe_bindgen-0.13.3,HIGH_SEVERITY,Yes
claxon-0.3.1,LOW_SEVERITY,Yes
hwloc-0.5.0,MEDIUM_SEVERITY,Yes
simple-slab-0.3.2,HIGH_SEVERITY,Yes
ark-r1cs-std-0.3.0,MEDIUM_SEVERITY,Yes
gix-worktree-state-0.16.0,LOW_SEVERITY,Yes
matrix-sdk-crypto-0.7.2,UNKNOWN,Yes
messagepack-rs-0.8.1,HIGH_SEVERITY,Yes
cggmp21-0.2.1,HIGH_SEVERITY,Yes
rusttype-0.9.3,LOW_SEVERITY,Yes
beef-0.4.4,LOW_SEVERITY,Yes
acc_reader-2.0.0,CRITICAL,Yes
stb_truetype-0.3.1,LOW_SEVERITY,Yes
totp-rs-1.0.0,UNKNOWN,Yes
cortex-m-rt-0.7.2,LOW_SEVERITY,Yes
tremor-script-0.11.5,UNKNOWN,Yes
iana-time-zone-0.1.44,LOW_SEVERITY,Yes
multiqueue2-0.1.6,HIGH_SEVERITY,Yes
git-hash-0.10.3,LOW_SEVERITY,Yes
image-0.23.11,LOW_SEVERITY,Yes
blurhash-0.1.1,SAFE,Yes
kamadak-exif-0.5.2,LOW_SEVERITY,Yes
regex-1.5.4,SAFE,Yes
sys-info-0.7.0,LOW_SEVERITY,Yes
mail-internals-0.2.3,UNKNOWN,Yes
tor-circmgr-0.18.0,UNKNOWN,Yes
simd-json-derive-0.11.3,MEDIUM_SEVERITY,Yes
mozwire-0.4.0,UNKNOWN,Yes
ncollide2d-0.33.0,LOW_SEVERITY,Yes
toolshed-0.8.1,MEDIUM_SEVERITY,Yes
rental-0.5.6,LOW_SEVERITY,Yes
dirs-6.0.0,LOW_SEVERITY,Yes
safe-transmute-0.10.0,LOW_SEVERITY,Yes
crossbeam-queue-0.2.2,LOW_SEVERITY,Yes
pty-0.2.2,MEDIUM_SEVERITY,Yes
thex-0.1.0,CRITICAL,Yes
cbox-0.3.0,HIGH_SEVERITY,Yes
ic-stable-structures-0.6.3,MEDIUM_SEVERITY,Yes
dlopen_derive-0.1.4,LOW_SEVERITY,Yes
ring-0.17.11,LOW_SEVERITY,Yes
fltk-0.15.2,LOW_SEVERITY,Yes
libwebp-sys2-0.1.7,MEDIUM_SEVERITY,Yes
crossbeam-deque-0.7.3,LOW_SEVERITY,Yes
libp2p-core-0.30.0,LOW_SEVERITY,Yes
dotenv_codegen-0.15.0,MEDIUM_SEVERITY,Yes
tectonic_xdv-0.1.11,LOW_SEVERITY,Yes
mdbook-0.4.4,LOW_SEVERITY,Yes
generator-0.6.25,LOW_SEVERITY,Yes
chacha20-0.2.2,LOW_SEVERITY,Yes
slice-deque-0.1.16,MEDIUM_SEVERITY,Yes
actix-web-0.7.14,UNKNOWN,Yes
yottadb-1.1.0,HIGH_SEVERITY,Yes
ruzstd-0.7.2,LOW_SEVERITY,Yes
filesystem-0.4.4,MEDIUM_SEVERITY,Yes
ed25519-dalek-2.1.1,LOW_SEVERITY,Yes
markdown-0.3.0,UNKNOWN,Yes
rustsec-0.30.2,LOW_SEVERITY,Yes
buf_redux-0.8.4,LOW_SEVERITY,Yes
bumpalo-3.11.0,LOW_SEVERITY,Yes
magnetic-2.0.0,HIGH_SEVERITY,Yes
magic-crypt-4.0.1,MEDIUM_SEVERITY,Yes
zerovec-derive-0.10.2,SAFE,Yes
trillium-client-0.5.3,MEDIUM_SEVERITY,Yes
os_str_bytes-1.1.0,LOW_SEVERITY,Yes
js-sandbox-0.1.6,HIGH_SEVERITY,Yes
async-h1-2.2.1,LOW_SEVERITY,Yes
abi_stable-0.9.0,MEDIUM_SEVERITY,Yes
rmp-serde-1.1.0,LOW_SEVERITY,Yes
gix-fs-0.10.2,LOW_SEVERITY,Yes
tough-0.7.0,MEDIUM_SEVERITY,Yes
inconceivable-0.9.0,SAFE,Yes
derive-com-impl-0.1.1,LOW_SEVERITY,Yes
stack_dst-0.6.0,MEDIUM_SEVERITY,Yes
intaglio-1.8.0,MEDIUM_SEVERITY,Yes
mmap-0.1.1,MEDIUM_SEVERITY,Yes
nphysics3d-0.24.0,LOW_SEVERITY,Yes
linked-hash-map-0.5.2,LOW_SEVERITY,Yes
memmap-0.7.0,LOW_SEVERITY,Yes
fruity-0.2.0,MEDIUM_SEVERITY,Yes
vodozemac-0.6.0,MEDIUM_SEVERITY,Yes
conquer-once-0.3.1,LOW_SEVERITY,Yes
tempdir-0.3.7,LOW_SEVERITY,Yes
array-macro-2.1.1,LOW_SEVERITY,Yes
ncurses-6.0.1,MEDIUM_SEVERITY,Yes
alloy-json-abi-0.7.6,LOW_SEVERITY,Yes
fehler-1.0.0,MEDIUM_SEVERITY,Yes
async-nats-0.28.0,LOW_SEVERITY,Yes
alloc-cortex-m-0.4.4,MEDIUM_SEVERITY,Yes
async-graphql-4.0.5,LOW_SEVERITY,Yes
proc-macro-error-1.0.4,SAFE,Yes
portaudio-rs-0.3.0,MEDIUM_SEVERITY,Yes
qwutils-0.3.0,HIGH_SEVERITY,Yes
rmpv-0.4.1,LOW_SEVERITY,Yes
trust-dns-server-0.22.0,MEDIUM_SEVERITY,Yes
ckb-0.39.1,UNKNOWN,Yes
snow-0.9.4,LOW_SEVERITY,Yes
jsonrpc-quic-0.0.9,HIGH_SEVERITY,Yes
lmdb-rs-0.7.6,MEDIUM_SEVERITY,Yes
