crate_name,rustsec_label,advisory_type
boxfnonce,INFO,INFOUnmaintained
ncollide2d,INFO,INFOUnmaintained
encoding,INFO,INFOUnmaintained
kuchiki,INFO,INFOUnmaintained
maligned,INFO,INFOUnsound
ascii,INFO,INFOUnsound
partial_sort,INFO,INFOUnsound
cortex-m-rt,INFO,INFOUnsound
tokio,INFO,INFOUnsound
personnummer,INFO,INFONotice
json,INFO,INFOUnmaintained
parity-util-mem,INFO,INFOUnmaintained
twoway,INFO,INFOUnmaintained
bumpalo,INFO,INFOUnsound
claim,INFO,INFOUnmaintained
prettytable-rs,INFO,INFOUnsound
alloc-cortex-m,INFO,INFOUnmaintained
rusoto_credential,INFO,INFOUnmaintained
secp256k1,INFO,INFOUnsound
atty,INFO,INFOUnsound
lzf,INFO,INFOUnsound
parity-wasm,INFO,INFOUnmaintained
orbtk,INFO,INFOUnmaintained
inconceivable,INFO,INFONotice
badge,INFO,INFOUnmaintained
clipboard,INFO,INFOUnmaintained
typemap,INFO,INFOUnmaintained
wee_alloc,INFO,INFOUnmaintained
traitobject,INFO,INFOUnmaintained
cell-project,INFO,INFOUnsound
dotenv_codegen,INFO,INFOUnmaintained
dotenv,INFO,INFOUnmaintained
mozjpeg,INFO,INFOUnsound
rusttype,INFO,INFOUnmaintained
os_socketaddr,INFO,INFOUnsound
mapr,INFO,INFOUnmaintained
ansi_term,INFO,INFOUnmaintained
interledger-packet,INFO,INFOUnmaintained
iana-time-zone,INFO,INFOUnsound
mz-avro,INFO,INFOUnsound
sodiumoxide,INFO,INFOUnmaintained
markdown,INFO,INFOUnmaintained
crossbeam-utils,INFO,INFOUnsound
odbc,INFO,INFOUnmaintained
sass-rs,INFO,INFOUnmaintained
term_size,INFO,INFOUnmaintained
r2d2_odbc,INFO,INFOUnmaintained
pkcs11,INFO,INFOUnsound
double-checked-cell,INFO,INFOUnmaintained
static_type_map,INFO,INFOUnmaintained
crossbeam-channel,INFO,INFOUnsound
crossbeam-queue,INFO,INFOUnsound
hyper,INFO,INFOUnsound
crossbeam,INFO,INFOUnsound
array-macro,INFO,INFOUnsound
pty,INFO,INFOUnmaintained
enum-map,INFO,INFOUnsound
tokio-proto,INFO,INFOUnmaintained
windows,INFO,INFOUnsound
qcell,INFO,INFOUnsound
ftd2xx-embedded-hal,INFO,INFOUnmaintained
array-macro,INFO,INFOUnsound
lmdb,INFO,INFOUnmaintained
rental,INFO,INFOUnmaintained
cargo-download,INFO,INFOUnmaintained
serde_cbor,INFO,INFOUnmaintained
crypto2,INFO,INFOUnsound
abomonation,INFO,INFOUnsound
slice-deque,INFO,INFOUnmaintained
tectonic_xdv,INFO,INFOUnsound
cosmos_sdk,INFO,INFOUnmaintained
spirv_headers,INFO,INFOUnmaintained
ash,INFO,INFOUnsound
bite,INFO,INFOUnsound
columnar,INFO,INFOUnsound
rdiff,INFO,INFOUnsound
csv-sniffer,INFO,INFOUnsound
mopa,INFO,INFOUnsound
gfx-auxil,INFO,INFOUnsound
acc_reader,INFO,INFOUnsound
binjs_io,INFO,INFOUnsound
flumedb,INFO,INFOUnsound
buffoon,INFO,INFOUnsound
bronzedb-protocol,INFO,INFOUnsound
vec-const,INFO,INFOUnsound
anymap,INFO,INFOUnmaintained
cpuid-bool,INFO,INFOUnmaintained
aes-ctr,INFO,INFOUnmaintained
aes-soft,INFO,INFOUnmaintained
aesni,INFO,INFOUnmaintained
miscreant,INFO,INFOUnmaintained
rulinalg,INFO,INFOUnmaintained
office,INFO,INFOUnmaintained
jsonrpc-quic,INFO,INFOUnmaintained
safe-api,INFO,INFOUnmaintained
lzw,INFO,INFOUnmaintained
stderr,INFO,INFOUnmaintained
interfaces2,INFO,INFOUnmaintained
difference,INFO,INFOUnmaintained
safe_authenticator,INFO,INFOUnmaintained
safe_vault,INFO,INFOUnmaintained
safe_core,INFO,INFOUnmaintained
safe_app,INFO,INFOUnmaintained
routing,INFO,INFOUnmaintained
memmap,INFO,INFOUnmaintained
lock_api,INFO,INFOUnsound
safe_bindgen,INFO,INFOUnmaintained
fake_clock,INFO,INFOUnmaintained
ffi_utils,INFO,INFOUnmaintained
safe-nd,INFO,INFOUnmaintained
quic-p2p,INFO,INFOUnmaintained
block-cipher,INFO,INFOUnmaintained
stdweb,INFO,INFOUnmaintained
stream-cipher,INFO,INFOUnmaintained
libpulse-binding,INFO,INFOUnsound
net2,INFO,INFOUnmaintained
tiberius,INFO,INFOUnmaintained
libusb,INFO,INFOUnmaintained
plutonium,INFO,INFONotice
crust,INFO,INFOUnmaintained
quickersort,INFO,INFOUnmaintained
stb_truetype,INFO,INFOUnmaintained
term,INFO,INFOUnmaintained
chan,INFO,INFOUnmaintained
smallvec,INFO,INFOUnsound
block-cipher-trait,INFO,INFOUnmaintained
rust-crypto,INFO,INFOUnmaintained
cassandra,INFO,INFOUnmaintained
rust_sodium,INFO,INFOUnmaintained
tempdir,INFO,INFOUnmaintained
lz4-compress,INFO,INFOUnmaintained
