Crate Name,Severity Label
cassandra-0.8.1,MEDIUM_SEVERITY
tracing-0.1.39,SAFE
bra-0.1.0,HIGH_SEVERITY
pyo3-0.23.2,LOW_SEVERITY
multipart-0.18.0,LOW_SEVERITY
portaudio-0.8.0,MEDIUM_SEVERITY
comrak-0.10.0,LOW_SEVERITY
kuchiki-0.8.1,LOW_SEVERITY
try-mutex-0.2.0,HIGH_SEVERITY
safe_authenticator-0.18.1,UNKNOWN
fast-float2-0.2.1,LOW_SEVERITY
diesel-2.2.2,LOW_SEVERITY
pkcs11-0.5.0,MEDIUM_SEVERITY
partial_sort-0.1.2,LOW_SEVERITY
slock-0.1.2,CRITICAL
json-0.12.4,LOW_SEVERITY
difference-2.0.0,LOW_SEVERITY
capnp-0.15.1,LOW_SEVERITY
evm-core-0.26.0,LOW_SEVERITY
crossbeam-deque-0.8.0,LOW_SEVERITY
traitobject-0.1.1,SAFE
flatbuffers-2.1.2,LOW_SEVERITY
actix-service-1.0.5,LOW_SEVERITY
libp2p-tokio-socks5-0.8.0,UNKNOWN
cyfs-base-0.6.12,UNKNOWN
openpgp-card-sequoia-0.2.2,UNKNOWN
through-0.1.0,CRITICAL
typemap-0.3.3,LOW_SEVERITY
daemonize-0.5.0,SAFE
simple_asn1-0.6.0,LOW_SEVERITY
parse_duration-2.1.1,LOW_SEVERITY
arrow-6.3.0,LOW_SEVERITY
neon-0.10.0,LOW_SEVERITY
lz4-compress-0.1.1,LOW_SEVERITY
gitoxide-core-0.49.0,UNKNOWN
sha2-0.9.7,LOW_SEVERITY
array-queue-0.4.3,UNKNOWN
crust-0.32.1,UNKNOWN
av-data-0.2.2,MEDIUM_SEVERITY
protobuf-3.7.1,LOW_SEVERITY
va-ts-0.0.3,CRITICAL
block-cipher-0.99.99,SAFE
rustyscript-0.6.0,UNKNOWN
nix-0.22.3,LOW_SEVERITY
crayon-0.7.1,UNKNOWN
paste-1.0.15,SAFE
enum-map-2.0.1,LOW_SEVERITY
libflate-0.1.24,LOW_SEVERITY
futures-intrusive-0.3.1,LOW_SEVERITY
csv-sniffer-0.1.1,HIGH_SEVERITY
rust-i18n-support-3.0.0,LOW_SEVERITY
eventio-0.5.0,HIGH_SEVERITY
mimalloc-0.1.38,LOW_SEVERITY
loopdev-0.4.0,MEDIUM_SEVERITY
hyper-staticfile-0.9.6,LOW_SEVERITY
im-15.0.0,LOW_SEVERITY
toodee-0.2.4,HIGH_SEVERITY
nalgebra-0.27.0,LOW_SEVERITY
temporary-0.6.3,MEDIUM_SEVERITY
badge-0.3.0,LOW_SEVERITY
rust-crypto-0.2.36,LOW_SEVERITY
ffi_utils-0.17.0,MEDIUM_SEVERITY
aovec-1.1.0,HIGH_SEVERITY
olm-sys-1.3.2,MEDIUM_SEVERITY
ic-cdk-0.15.2,UNKNOWN
binjs_io-0.2.1,CRITICAL
lexer-0.1.18,HIGH_SEVERITY
vm-memory-0.12.1,SAFE
crossbeam-0.6.0,LOW_SEVERITY
safe-api-0.15.1,UNKNOWN
anymap-0.12.1,LOW_SEVERITY
self_cell-1.0.1,LOW_SEVERITY
nano_arena-0.5.1,HIGH_SEVERITY
gix-worktree-0.33.1,UNKNOWN
safe_bindgen-0.13.3,HIGH_SEVERITY
hwloc-0.5.0,MEDIUM_SEVERITY
simple-slab-0.3.2,HIGH_SEVERITY
ark-r1cs-std-0.3.0,MEDIUM_SEVERITY
rcu_cell-1.2.1,HIGH_SEVERITY
gix-worktree-state-0.16.0,UNKNOWN
matrix-sdk-crypto-0.7.2,UNKNOWN
messagepack-rs-0.8.1,HIGH_SEVERITY
cggmp21-0.2.1,HIGH_SEVERITY
h2-0.4.3,LOW_SEVERITY
rusttype-0.9.3,LOW_SEVERITY
beef-0.4.4,LOW_SEVERITY
acc_reader-2.0.0,CRITICAL
stb_truetype-0.3.1,LOW_SEVERITY
totp-rs-1.0.0,UNKNOWN
cortex-m-rt-0.7.2,LOW_SEVERITY
tremor-script-0.11.5,UNKNOWN
iana-time-zone-0.1.44,LOW_SEVERITY
multiqueue2-0.1.6,HIGH_SEVERITY
git-hash-0.10.3,LOW_SEVERITY
image-0.23.11,LOW_SEVERITY
blurhash-0.1.1,SAFE
kamadak-exif-0.5.2,LOW_SEVERITY
regex-1.5.4,SAFE
sys-info-0.7.0,LOW_SEVERITY
smallvec-1.6.0,LOW_SEVERITY
mail-internals-0.2.3,UNKNOWN
tor-circmgr-0.18.0,UNKNOWN
simd-json-derive-0.11.3,MEDIUM_SEVERITY
mozwire-0.4.0,UNKNOWN
ncollide2d-0.33.0,LOW_SEVERITY
toolshed-0.8.1,MEDIUM_SEVERITY
rental-0.5.6,LOW_SEVERITY
dirs-6.0.0,LOW_SEVERITY
