crate_name,sherlock_label,rustsec_label,advisory_type
kuchiki,LOW_SEVERITY,INFO,INFOUnmaintained
try-mutex,HIGH_SEVERITY,MEDIUM,Vulnerability
safe_authenticator,HIGH_SEVERITY,INFO,INFOUnmaintained
fast-float2,LOW_SEVERITY,Uncategorized,Vulnerability
diesel,LOW_SEVERITY,CRITICAL|Uncategorized,Vulnerability
pkcs11,MEDIUM_SEVERITY,INFO,INFOUnsound
partial_sort,LOW_SEVERITY,INFO,INFOUnsound
slock,CRITICAL,HIGH,Vulnerability
json,LOW_SEVERITY,INFO,INFOUnmaintained
difference,LOW_SEVERITY,INFO,INFOUnmaintained
capnp,LOW_SEVERITY,Uncategorized,Vulnerability
evm-core,LOW_SEVERITY,Uncategorized,Vulnerability
crossbeam-deque,LOW_SEVERITY,CRITICAL,Vulnerability
traitobject,SAFE,CRITICAL|INFO,INFOUnmaintained|INFOUnsound
flatbuffers,LOW_SEVERITY,CRITICAL|HIGH,Vulnerability
actix-service,LOW_SEVERITY,MEDIUM,INFOUnsound
libp2p-tokio-socks5,HIGH_SEVERITY,INFO,INFOUnmaintained
cyfs-base,HIGH_SEVERITY,INFO,INFOUnsound
openpgp-card-sequoia,HIGH_SEVERITY,INFO,INFOUnmaintained
through,CRITICAL,CRITICAL,Vulnerability
typemap,LOW_SEVERITY,INFO,INFOUnmaintained
daemonize,SAFE,Uncategorized,INFOUnmaintained
simple_asn1,LOW_SEVERITY,Uncategorized,Vulnerability
parse_duration,LOW_SEVERITY,HIGH,Vulnerability
arrow,LOW_SEVERITY,Uncategorized,Vulnerability
neon,LOW_SEVERITY,Uncategorized,Vulnerability
lz4-compress,LOW_SEVERITY,INFO,INFOUnmaintained
gitoxide-core,LOW_SEVERITY,LOW,Vulnerability
sha2,LOW_SEVERITY,Uncategorized,Vulnerability
array-queue,HIGH_SEVERITY,MEDIUM,Vulnerability
crust,LOW_SEVERITY,INFO,INFOUnmaintained
av-data,MEDIUM_SEVERITY,HIGH,Vulnerability
protobuf,LOW_SEVERITY,HIGH|Uncategorized,Vulnerability
va-ts,CRITICAL,MEDIUM,Vulnerability
block-cipher,SAFE,INFO,INFOUnmaintained
rustyscript,HIGH_SEVERITY,Uncategorized,Vulnerability
nix,LOW_SEVERITY,Uncategorized,Vulnerability
crayon,HIGH_SEVERITY,HIGH|Uncategorized,INFOUnsound|Vulnerability
paste,SAFE,INFO,INFOUnmaintained
enum-map,LOW_SEVERITY,INFO,INFOUnsound
libflate,LOW_SEVERITY,CRITICAL,Vulnerability
futures-intrusive,LOW_SEVERITY,MEDIUM,INFOUnsound
csv-sniffer,HIGH_SEVERITY,INFO,INFOUnsound
rust-i18n-support,LOW_SEVERITY,INFO,INFOUnsound
eventio,HIGH_SEVERITY,MEDIUM,Vulnerability
mimalloc,LOW_SEVERITY,INFO,INFOUnsound
loopdev,MEDIUM_SEVERITY,INFO,INFOUnmaintained
hyper-staticfile,LOW_SEVERITY,Uncategorized,Vulnerability
im,LOW_SEVERITY,MEDIUM,INFOUnsound
toodee,HIGH_SEVERITY,Uncategorized,Vulnerability
nalgebra,LOW_SEVERITY,Uncategorized,Vulnerability
temporary,MEDIUM_SEVERITY,Uncategorized,Vulnerability
badge,LOW_SEVERITY,INFO,INFOUnmaintained
rust-crypto,LOW_SEVERITY,INFO|Uncategorized,INFOUnmaintained|Vulnerability
ffi_utils,MEDIUM_SEVERITY,INFO,INFOUnmaintained
aovec,HIGH_SEVERITY,HIGH,Vulnerability
olm-sys,MEDIUM_SEVERITY,Uncategorized,Vulnerability
ic-cdk,LOW_SEVERITY,HIGH,Vulnerability
binjs_io,CRITICAL,INFO,INFOUnsound
lexer,HIGH_SEVERITY,HIGH,Vulnerability
vm-memory,SAFE,HIGH|LOW,INFOUnsound|Vulnerability
crossbeam,LOW_SEVERITY,CRITICAL|INFO|Uncategorized,INFOUnsound|Vulnerability
safe-api,HIGH_SEVERITY,INFO,INFOUnmaintained
anymap,LOW_SEVERITY,INFO,INFOUnmaintained
self_cell,LOW_SEVERITY,Uncategorized,Vulnerability
nano_arena,HIGH_SEVERITY,CRITICAL,Vulnerability
gix-worktree,LOW_SEVERITY,HIGH|MEDIUM,Vulnerability
safe_bindgen,HIGH_SEVERITY,INFO,INFOUnmaintained
hwloc,MEDIUM_SEVERITY,INFO,INFOUnmaintained
simple-slab,HIGH_SEVERITY,Uncategorized,Vulnerability
ark-r1cs-std,MEDIUM_SEVERITY,Uncategorized,Vulnerability
rcu_cell,HIGH_SEVERITY,HIGH,Vulnerability
gix-worktree-state,LOW_SEVERITY,MEDIUM,Vulnerability
matrix-sdk-crypto,LOW_SEVERITY,HIGH|INFO|Uncategorized,INFONotice|Vulnerability
messagepack-rs,HIGH_SEVERITY,Uncategorized,Vulnerability
cggmp21,HIGH_SEVERITY,Uncategorized,Vulnerability
h2,LOW_SEVERITY,Uncategorized,Vulnerability
rusttype,LOW_SEVERITY,INFO,INFOUnmaintained
beef,LOW_SEVERITY,HIGH,Vulnerability
acc_reader,CRITICAL,INFO,INFOUnsound
stb_truetype,LOW_SEVERITY,INFO,INFOUnmaintained
totp-rs,MEDIUM_SEVERITY,MEDIUM,Vulnerability
cortex-m-rt,LOW_SEVERITY,INFO,INFOUnsound
tremor-script,LOW_SEVERITY,Uncategorized,Vulnerability
iana-time-zone,LOW_SEVERITY,INFO,INFOUnsound
multiqueue2,HIGH_SEVERITY,MEDIUM,INFOUnsound
git-hash,LOW_SEVERITY,INFO,INFOUnmaintained
image,LOW_SEVERITY,CRITICAL|MEDIUM,INFOUnsound|Vulnerability
blurhash,SAFE,HIGH,Vulnerability
kamadak-exif,LOW_SEVERITY,MEDIUM,Vulnerability
regex,SAFE,HIGH,Vulnerability
sys-info,LOW_SEVERITY,CRITICAL,Vulnerability
smallvec,LOW_SEVERITY,CRITICAL|INFO,INFOUnsound|Vulnerability
mail-internals,UNKNOWN,Uncategorized,Vulnerability
tor-circmgr,MEDIUM_SEVERITY,Uncategorized,Vulnerability
simd-json-derive,MEDIUM_SEVERITY,INFO,INFOUnsound
mozwire,HIGH_SEVERITY,CRITICAL,Vulnerability
ncollide2d,LOW_SEVERITY,INFO,INFOUnmaintained
toolshed,MEDIUM_SEVERITY,HIGH,Vulnerability
rental,LOW_SEVERITY,INFO,INFOUnmaintained
dirs,LOW_SEVERITY,Uncategorized,INFOUnmaintained
safe-transmute,LOW_SEVERITY,CRITICAL,Vulnerability
crossbeam-queue,LOW_SEVERITY,INFO,INFOUnsound
pty,MEDIUM_SEVERITY,INFO,INFOUnmaintained
xml-rs,LOW_SEVERITY,Uncategorized,INFOUnmaintained
thex,CRITICAL,MEDIUM,Vulnerability
cbox,HIGH_SEVERITY,CRITICAL,Vulnerability
ic-stable-structures,MEDIUM_SEVERITY,MEDIUM,Vulnerability
dlopen_derive,LOW_SEVERITY,INFO,INFOUnmaintained
ring,LOW_SEVERITY,INFO|Uncategorized,INFOUnmaintained|Vulnerability
