name,rustsec_label,advisory_type
rust-i18n-support,UNCATEGORIZED,INFOUNSOUND
threadalone,UNCATEGORIZED,INFOUNSOUND
cosmwasm,UNCATEGORIZED,INFOUNMAINTAINED
tracing,UNCATEGORIZED,INFOUNSOUND
ferris-says,UNCATEGORIZED,INFOUNSOUND
cpython,UNCATEGORIZED,INFOUNMAINTAINED
unsafe-libyaml,UNCATEGORIZED,INFOUNSOUND
openssl,UNCATEGORIZED,INFOUNSOUND
fehler,UNCATEGORIZED,INFOUNMAINTAINED
users,UNCATEGORIZED,INFOUNSOUND
inventory,UNCATEGORIZED,INFOUNSOUND
inventory,UNCATEGORIZED,INFOUNSOUND
lexical,UNCATEGORIZED,INFOUNSOUND
dlopen_derive,UNCATEGORIZED,INFOUNMAINTAINED
multipart,UNCATEGORIZED,INFOUNMAINTAINED
tui,UNCATEGORIZED,INFOUNMAINTAINED
intaglio,UNCATEGORIZED,INFOUNSOUND
lmdb-rs,UNCATEGORIZED,INFOUNSOUND
cyfs-base,UNCATEGORIZED,INFOUNSOUND
memoffset,UNCATEGORIZED,INFOUNSOUND
ftp,UNCATEGORIZED,INFOUNMAINTAINED
ouroboros,UNCATEGORIZED,INFOUNSOUND
users,UNCATEGORIZED,INFOUNMAINTAINED
xsalsa20poly1305,UNCATEGORIZED,INFOUNMAINTAINED
tree_magic,UNCATEGORIZED,INFOUNMAINTAINED
enumflags2,UNCATEGORIZED,INFOUNSOUND
borsh,UNCATEGORIZED,INFOUNSOUND
ntru,UNCATEGORIZED,INFOUNSOUND
spin,UNCATEGORIZED,INFOUNSOUND
git-hash,UNCATEGORIZED,INFOUNMAINTAINED
buf_redux,UNCATEGORIZED,INFOUNMAINTAINED
git-path,UNCATEGORIZED,INFOUNMAINTAINED
rmp-serde,UNCATEGORIZED,INFOUNSOUND
const-cstr,UNCATEGORIZED,INFOUNSOUND
out-reference,UNCATEGORIZED,INFOUNSOUND
mach,UNCATEGORIZED,INFOUNMAINTAINED
nphysics3d,UNCATEGORIZED,INFOUNMAINTAINED
ncollide3d,UNCATEGORIZED,INFOUNMAINTAINED
nphysics2d,UNCATEGORIZED,INFOUNMAINTAINED
boxfnonce,UNCATEGORIZED,INFOUNMAINTAINED
ncollide2d,UNCATEGORIZED,INFOUNMAINTAINED
encoding,UNCATEGORIZED,INFOUNMAINTAINED
kuchiki,UNCATEGORIZED,INFOUNMAINTAINED
maligned,UNCATEGORIZED,INFOUNSOUND
ascii,UNCATEGORIZED,INFOUNSOUND
partial_sort,UNCATEGORIZED,INFOUNSOUND
cortex-m-rt,UNCATEGORIZED,INFOUNSOUND
